source,target,label
3890,3933,follower
3890,3881,friendly with
3891,3835,involve
3891,3792,involve
3891,3869,connect clan
3891,3940,friendly with
3891,3857,birthplace
3891,3955,residency
3891,4117,concubine
3892,3790,involve
3892,3793,involve
3892,3856,residency
3892,3900,father
3893,3804,involve
3893,3794,involve
3893,3954,friendly with
3893,4055,wife
3894,3796,involve
3894,3863,common clan
3894,3871,friendly with
3894,3853,residency
3894,4085,wife
3894,4138,mother
3895,3796,involve
3895,3856,residency
3896,3780,involve
3896,3850,residency
3896,4048,wife
3897,3849,residency
3899,3855,birthplace
3900,3853,birthplace
3900,3910,father
3902,3855,birthplace
3903,3824,involve
3903,3970,servant
3903,4117,servant
3903,3850,birthplace
3903,3862,residency
3903,4141,wife
3905,3814,involve
3905,3853,birthplace
3905,4039,wife
3905,4083,mother
3905,3917,father
3906,3820,involve
3906,3861,birthplace
3906,3856,residency
3906,4042,wife
3907,4121,mother
3908,4156,mother
3909,4156,mother
3910,3869,common clan
3910,3853,birthplace
3910,4162,wife
3911,4123,wife
3911,4142,mother
3913,4122,wife
3916,3883,connect clan
3916,3915,father
3917,4083,wife
3917,3916,father
3918,3917,owe a favor
3918,4131,wife
3919,4132,wife
3920,4086,wife
3921,3786,involve
3921,3935,father
3922,3910,teacher/tutor
3923,3790,involve
3923,3870,common clan
3923,3924,friendly with
3923,3910,teacher/tutor
3923,4157,mother
3924,3790,involve
3924,3870,common clan
3924,3910,teacher/tutor
3925,3790,involve
3925,3910,teacher/tutor
3926,3790,involve
3926,3910,teacher/tutor
3926,4158,mother
3927,3801,involve
3929,3874,common clan
3929,4160,mother
3930,3863,common clan
3931,4139,wife
3932,3938,servant
3932,4149,servant
3934,3812,involve
3934,3890,friendly with
3934,3911,father
3936,4046,sister
3939,4125,wife
3940,3835,involve
3940,3856,residency
3940,4172,wife
3943,3883,father
3944,3889,father
3945,4052,wife
3946,4077,wife
3947,4124,wife
3948,3788,involve
3948,4119,wife
3949,3850,residency
3950,4129,wife
3951,3792,involve
3951,3850,birthplace
3951,3858,residency
3953,4075,mother
3954,3856,residency
3955,3855,located at
3960,3859,residency
3960,4169,wife
3961,3792,involve
3961,3855,residency
3962,3855,residency
3963,3818,involve
3964,3818,involve
3965,3818,involve
3967,3780,involve
3968,3783,involve
3968,3824,involve
3968,3969,friendly with
3969,3783,involve
3969,3793,involve
3969,3824,involve
3970,3834,involve
3970,3862,residency
3971,3808,involve
3971,4113,wife
3971,4119,mother
3971,3948,father
3972,3836,involve
4037,3831,involve
4037,3780,involve
4037,3815,involve
4037,3806,involve
4037,3781,involve
4037,3832,involve
4037,3779,involve
4037,4088,servant
4037,4070,servant
4037,4069,servant
4037,4058,servant
4037,3863,affection
4037,4120,nannie
4037,3891,teacher/tutor
4037,4058,soulmate
4037,4173,past life/existence
4037,3854,birthplace
4037,3838,residency
4037,4048,mother
4037,3896,father
4038,3837,involve
4038,3821,involve
4038,3816,involve
4038,3802,involve
4038,3781,involve
4038,3806,involve
4038,3784,involve
4038,4089,servant
4038,4071,servant
4038,4059,servant
4038,3863,affection
4038,3885,brother
4038,3855,birthplace
4038,3839,residency
4038,4075,mother
4038,3901,father
4039,3791,involve
4039,3856,birthplace
4039,3848,residency
4039,3905,husband
4039,4041,mother
4039,3874,father
4040,3781,involve
4040,4092,servant
4040,4091,servant
4040,4090,servant
4040,3873,brother
4040,3856,birthplace
4040,3840,residency
4040,3867,father
4041,3830,involve
4041,3786,involve
4041,3826,involve
4041,3822,involve
4041,3814,involve
4041,3809,involve
4041,3807,involve
4041,3783,involve
4041,3798,involve
4041,3793,involve
4041,4119,maid
4041,3948,servant
4041,3938,servant
4041,4093,servant
4041,4085,servant
4041,4056,servant
4041,3870,adultery
4041,3884,brother
4041,3855,birthplace
4041,3848,residency
4041,3874,husband
4041,3943,father
4042,3820,involve
4042,3781,involve
4042,4135,servant
4042,4094,servant
4042,4063,servant
4042,3874,brother
4042,3841,residency
4042,3906,husband
4042,3868,father
4043,3827,involve
4043,3781,involve
4043,4110,servant
4043,4103,servant
4043,4072,servant
4043,3842,residency
4043,3876,husband
4043,3962,father
4044,3823,involve
4044,4067,servant
4044,3876,brother
4044,3843,residency
4044,3952,husband
4044,4051,mother
4044,3869,father
4045,3830,involve
4045,3827,involve
4045,3813,involve
4045,3781,involve
4045,4111,servant
4045,4074,servant
4045,4095,servant
4045,4169,godmother
4045,3863,brother
4045,4044,sister
4045,3844,residency
4045,4047,mother
4045,3869,father
4046,3786,involve
4046,4125,maid
4046,4171,servant
4046,4114,servant
4046,4115,servant
4046,3904,brother
4046,3855,birthplace
4046,3848,residency
4046,3868,husband
4047,3827,involve
4047,3783,involve
4047,4104,servant
4047,4096,servant
4047,3912,brother
4047,3848,residency
4047,3869,husband
4048,4120,servant
4048,3868,brother
4048,3869,brother
4048,3855,birthplace
4048,3850,residency
4048,3896,husband
4048,4049,mother
4048,3864,father
4049,3786,involve
4049,4058,servant
4049,4112,servant
4049,4073,servant
4049,4057,servant
4049,3889,brother
4049,3855,birthplace
4049,3848,residency
4049,3864,husband
4049,3902,father
4050,3863,affection
4050,4078,soulmate
4050,3846,residency
4051,3830,involve
4051,3817,involve
4051,3787,involve
4051,4131,maid
4051,4124,servant
4051,4113,servant
4051,4062,servant
4051,4061,servant
4051,4060,servant
4051,3943,brother
4051,3882,brother
4051,3855,birthplace
4051,3848,residency
4051,3869,husband
4051,3883,father
4052,3828,involve
4052,3785,involve
4052,3781,involve
4052,4166,servant
4052,4105,servant
4052,4097,servant
4052,4153,nannie
4052,4037,soulmate
4052,3854,birthplace
4052,3945,husband
4052,3944,father
4053,3822,involve
4053,3819,involve
4053,3797,involve
4053,4106,servant
4053,4087,servant
4053,3863,affection
4053,3871,adultery
4053,3849,residency
4053,3870,husband
4053,3898,father
4054,3833,involve
4054,3830,involve
4054,3825,involve
4054,3787,involve
4054,4065,friendly with
4054,3913,brother
4054,3845,residency
4055,3785,involve
4055,3837,involve
4055,4056,friendly with
4055,3914,brother
4055,3845,residency
4055,3893,husband
4056,3826,involve
4056,3789,involve
4056,3800,involve
4056,3799,involve
4057,3801,involve
4057,3786,involve
4057,3921,brother
4057,3935,father
4058,3831,involve
4058,3782,involve
4058,3838,residency
4059,3802,involve
4059,3839,residency
4060,3803,involve
4060,4151,mother
4061,3817,involve
4061,3804,involve
4061,4151,mother
4062,3877,affection
4063,3830,involve
4063,3801,involve
4063,3805,involve
4063,3927,adultery
4063,3841,residency
4063,4150,mother
4065,3799,involve
4065,3825,involve
4066,3834,involve
4066,3806,involve
4066,3792,involve
4066,4098,servant
4066,3850,birthplace
4066,3885,husband
4066,4141,mother
4066,3903,father
4068,3811,involve
4068,3885,adultery
4069,3831,involve
4072,3842,residency
4075,4107,servant
4075,4084,servant
4075,3882,brother
4075,4051,sister
4075,3856,birthplace
4075,3847,residency
4075,3883,father
4076,3811,involve
4076,4110,servant
4076,4108,servant
4076,4068,servant
4076,3856,birthplace
4076,3885,husband
4077,4154,servant
4077,4099,servant
4077,4051,godmother
4077,3886,brother
4077,3946,husband
4078,4100,servant
4078,3855,birthplace
4078,3886,husband
4078,3904,father
4079,4149,servant
4079,4155,servant
4079,4109,servant
4079,4101,servant
4079,3873,husband
4079,4152,mother
4080,3798,involve
4080,3788,involve
4080,4102,servant
4080,4079,sister
4080,3874,husband
4081,3829,involve
4081,3890,affection
4081,3873,adultery
4081,4079,sister
4081,4080,sister
4082,3814,involve
4082,3807,involve
4082,3853,residency
4083,3917,husband
4083,4082,mother
4085,3816,involve
4085,4146,friendly with
4085,3894,husband
4085,4132,mother
4085,3919,father
4086,3826,involve
4086,3874,adultery
4086,3920,husband
4087,3819,involve
4087,4106,friendly with
4088,4118,affection
4088,4170,godmother
4090,3830,involve
4095,3844,residency
4113,3808,involve
4113,3877,affection
4113,3971,husband
4115,3798,involve
4117,3891,husband
4119,3808,involve
4119,3948,husband
4121,3787,involve
4122,3789,involve
4122,3913,husband
4123,4054,servant
4123,3911,husband
4124,3827,involve
4124,3947,husband
4125,3830,involve
4125,3787,involve
4125,3939,husband
4126,3805,involve
4126,4064,friendly with
4127,4043,sister
4127,4129,mother
4128,4127,sister
4128,4043,sister
4128,4129,mother
4129,3950,husband
4130,3905,brother
4130,4083,mother
4130,3917,father
4131,3830,involve
4131,3814,involve
4131,3918,husband
4132,4041,godmother
4132,3919,husband
4133,3800,involve
4133,4126,mother
4134,3800,involve
4135,3805,involve
4136,3878,husband
4138,3941,brother
4139,3931,husband
4140,3871,affection
4141,3850,residency
4141,3903,husband
4141,3949,father
4146,3816,involve
4146,3799,involve
4147,3810,involve
4147,3881,adultery
4148,3809,involve
4149,3926,adultery
4150,4125,mother
4162,3910,husband
4163,4164,mother
4167,3797,involve
4167,3860,residency
4168,3783,involve
4168,4047,friendly with
4168,3853,residency
4169,3813,involve
4169,3859,residency
4169,3960,husband
4172,3940,husband
4172,4131,mother
4172,3918,father
4173,3836,involve
