id,value,category,label,info
3791,2,event,Trafficking Sister Qiao,"Wang Ren wanted to give Qiaojie away, but was worried about this, and he had a similar smell. He asked Jia Qin to drink. During the meal, he scolded the Jia family for being ruthless and innocent. Jia Lian was not a good person and his sister was not good at it. He slandered the Wang family and gave himself shame. Seeing that the time was ripe, Jia Qin persuaded Wang Ren. Who would care about the life and death of a little girl at such a turbulent time? It would be better to take the opportunity to buy Qiaojie on the way, and lied that she died of illness on the way, and that was the end. This will not harm the Wang family, nor will it offend Wang Ziteng, and it will also give the Jia family an explanation. Jia Lian and Wang Xifeng will be in trouble, and no one will ask about this matter again. Wang Ren relied on alcohol and weighed the pros and cons, gritted his teeth, stomped his feet and made up his mind, and agreed. This is the origin of Wang Ren and Jia Qin, a cruel uncle and a traitor brother, one is a ruthless person, and the other is a false love. They decided to sell Qiaojie to take revenge and make a fortune by the way. When Wang Xifeng died of bloody dying due to hemorrhage, she probably didn't expect that her relatives would be so heartless and would plot against her daughter in this way. The complexity and ugliness of human nature can be seen from this."
3792,5,event,Cases of random gourd,"Jia Baoyu's cousin Xue Pan fell in love with a kidnapped girl Xiangling at the same time in Yingtian Mansion and Feng Yuan, the son of a small family. Another slave sold Xiangling (a human trafficker). The second master sold Xiangling to the two of them at the same time. After they were discovered, they both did not refund the money. The Xue Pan family was in great power. When they were arguing with Feng Yuan, they killed him. Xue Pan originally decided to go to Beijing. After beating Feng Yuan to death, they went to Beijing to visit relatives as if nothing had happened. The Feng family sued Shangguan Mansion. The prefect of Yingtian is Jia Yucun, recommended by the Jia family. Under the guidance of the former Hulu Temple Temple, Jia Yucun hastily concluded this life lawsuit under the guidance of the Yingtian family who knows the inside story."
3793,5,event,Poisonous Love Sin Bureau,"Jia Jing was having a family banquet on Ning Mansion during his birthday, and Jia Rui felt excited when he met Xifeng in the garden. After that, Xifeng was not found in Rongfu several times. After Jia Rui met Sister Feng, Sister Feng asked him to meet at Xichuantang at night. Jia Rui crawled into the hall at night as agreed. It was cold in the twelfth lunar month and the white cold was gone for one night. Dai Ru punished Jia Rui for kneeling in the yard to read articles, and beat thirty or forty boards, not allowing him to eat. The second time, I was teased by Jia Rong and Jia Qiang in the empty house in the small corridor behind Fengjie's house. Jia Rui did not listen to the words of the lame Taoist, and was illuminating the treasure mirror of the romantic and moon, and died."
3794,2,event,Love gift to Qian Xiangluo,"It mainly talks about Baoyu meeting Jiang Yuhan for the first time. The two felt that they were in love with each other, so Baoyu gave his fan pendant to Jiang Yuhan, and Jiang Yuhan gave Baoyu a big red sweat towel given by King Beijing. In exchange, Baoyu put down his pine-colored sweat towel and gave it to him."
3795,2,event,Rescue Xue Pan,"Times have changed, and Liu Xianglian makes her debut again after twenty chapters, which is about five years later. This time, more glory in his character was revealed. What I just stated was his ""punishing the strong"" side, and it is time to introduce his ""helping the weak"" side. When he was teased by Xue Pan, he was already ""angry and hated"", but when he saw Xue Pan's property was robbed and his life was in trouble, he refused to take care of himself and stood up to fight the thief. Such righteous acts are worthy of commendation and praise even in today's legal society. He also tolerated Xue Pan's mistakes and became sworn brothers with him, which also reflected the broad mind of this hero in the martial arts world."
3796,2,event,Ni Er lightly wealth and righteousness,"Jia Yun wanted to go to his uncle Bu Shiren to put some musk, borneol and other things, and bribe Feng Jie and ask Feng Jie to give him an errand, but Bu Shiren did not agree. On the way home, Jia Yun met the Drunken King Kong. Ni Er had just collected interest. Jia Yun accidentally ran into Ni Er. Ni Er wanted to curse. Later, he saw that it was Jia Yun, so he didn't scold him. He even chatted with Jia Yun for a few words. During the chat, Jia Yun told Ni Er about the matter. Unexpectedly, Ni Er lent money to Jia Yun very generously. Ni Er was a loan shark, but he did not collect interest this time, and the loan note was still what Jia Yun insisted on giving it, so Cao Gong called it ""Yihan""."
3797,3,event,Traveling in the illusion,"After Jia Baoyu watched the plum blossoms in Fangyuan, he took a nap in his niece Qin Keqing's bedroom and had a dream of wandering in the illusion of Taixu. In his dream, he met the graceful and graceful Guanxian Huangu. The fairy invited Baoyu to visit the Taixu Illusion Realm where she lives. When I got there, I suddenly saw a archway with four big words ""Taixu Illusion Realm"". When you enter the second floor, you will see the ""Love-Infatuation Department"", ""Grievance Department"", ""Crying Department"", ""Crying Department in the Down"", ""Spring Department"", ""Spring Department"", ""Autumn Sad Department"" and other departments. Baoyu read the main book, sub-book and sub-book of the Twelve Beauties of Jinling in the ""Bo Mingsi"". When you enter the room, smell a faint fragrance, taste the ""Thousand Reds and One Cave"" tea, drink the ""Thousands of Beauty and Sorrow"" wine, and listen to the twelve immortal songs in ""Dream of Red Mansions"". The fairy betrothed his sister Qin Keqing to Baoyu and taught him the matter of Yunyu. Baoyu and Keqing are tender and tender, and their soft words are hard to resolve. The next day, the two of them played together and arrived at the misty place and were awakened by the thunder."
3798,3,event,Kill people with a sword,"Wang Xifeng arranged for her to trick You Erjie into Daguanyuan, and asked the girl to abuse her. She complained to the old lady. After You Erjie became pregnant, she asked the doctor to make a miscarriage. Finally, Qiutong was charged with the crime, forcing You Erjie to swallow gold and commit suicide. The ""sword"" in ""Do Xiaoqiao and kill someone by borrowing a sword"" refers to the girl Qiutong, and the one who kills You Erjie."
3799,4,event,Ping'er lost bracelet,"Ping'er's bracelet was taken down by Ping'er for convenience when she was eating roasted venison with everyone. The shrimp bracelet was originally a pair, but unexpectedly, the one I took off suddenly disappeared, leaving only one. Ping'er likes this bracelet very much and keeps looking for it. Unexpectedly, it was found that Baoyu's maid Zhuier in Yihong Courtyard stole it. In order not to make Baoyu angry and embarrassed, Ping'er took the bracelet back and lied to everyone that the bracelet was hidden in the snow. When Xuemeng found out that it was not stolen. A bracelet also reflects Ping'er's gentle and generous personality. Later, Qingwen drove Zhu'er out."
3800,3,event,Ping'er's right,"Sister Liu is the kitchen manager. Her daughter Liu Wuer wants to work in Yihongyuan, but she is temporarily helping in the kitchen because she is sick. Later, she was wrongly accused of stole rose dew. At that time, Feng Jie was sick and many things were handled by Ping'er. Ping'er knew that Liu Wu'er was wronged, so she decided to let Liu Wu'er go."
3801,3,event,Siqi was caught,"Pan Youan and Si Qi were caught in a secret meeting in the Grand View Garden by Yuanyang, and fled far away for fear of sin. He got rich and went home, intending to marry Siqi, but Si's mother refused to obey. Siqi died when she hit the wall, and he also committed suicide by committing suicide."
3802,3,event,Clever plum blossoms,"Ying'er is Xue Baochai's girl, and she is very clever. Each style name, composition method, and color matching is clear and clear. Therefore, Baoyu asked Ying'er to make some veins, decorate the fan, fragrant pendant, and sweat towel."
3803,2,event,Taste lotus leaf soup,"Baoyu wanted to eat lotus leaf soup after being beaten. Wang Xifeng did it by the way. Later, Mrs. Wang sent Yuchuan to deliver soup to Baoyu. Because Baoyu indirectly killed Yuchuan's sister. Yuchuan doesn't care much about Baoyu. After taking a sip of the lotus leaf soup, Baoyu deliberately teased Yuchuan and said that the soup was not delicious. Yuchuan said that this was not delicious, so what was delicious. Baoyu said, then you can try it. Yuchuan tasted it."
3804,5,event,Baoyu was beaten,"Baoyu's beating occurred in the 33rd chapter, where it was Jia Zheng's study, and it was after a summer lunch break. The fundamental reason is that he made a political taboo with the actors of Prince Zhongshun, a hostile force in the Jia family; the fuse was that Jia Huan falsely accused Baoyu of ""expert rape (mother maid) and jumped into a well with anger"" in front of Zheng's father. Jia Zheng was furious when he heard this, and returned to the study and closed the door and beat Baoyu. In total, about fifty boards were beaten. It was too late for Jia Mu to arrive. After severely denounce Jia Zheng, he ordered people to take the dying Baoyu back to his house from the study. Jia Zheng burst into tears and regretted that he was too serious afterwards. He went into Jia Mu's house to see Baoyu, but was scolded by Jia Mu. It secretly features two festivals: ""Qingxu Temple"" and ""Feng Ziying's Birthday Banquet"", which is close to the last chapter of ""Eating rouge and golden bracelets to become a prophecy"", which is one of the climaxes of the whole book. The birthday party prostitute Yun'er (speaker) and the study guest Jia Yucun (studying in the snitch) are not idle writing."
3805,3,event,Make a big fuss in the kitchen,"Siqi asked the little girl Lianhua'er to go to the kitchen to ask for a bowl of eggs. She didn't ask for it, and even made a fuss about ""the master on the front floor and the master on the second floor"". She led the girls to smash the kitchen and made Sister Liu suffer a loss. Although Siqi's move is unreasonable and domineering, it is so cool!"
3806,3,event,Xiangling learns poetry,"Xiangling's learning of poetry is a classic story in Cao Xueqin's book ""Dream of Red Mansions"", and was selected into Chinese textbooks. Zhi Yanzhai had an incisive analysis of this: ""When Xiangling is a human being, she is not allowed to be a good person, her appearance is not allowed to be Feng Qin, her elegance is not allowed to be a silk hairpin, her romantic hairpin, and her virtuousness is not allowed to be Xiping. The one who cherishes her will suffer disaster in her childhood and her fate is in a bad way, which leads to a side room. She has also studied and cannot travel with Lin Xiang in the community of Haitang. However, how can this person not enter the garden? Therefore, if you want to enter the garden, there will be no gaps in the end. If you plan to enter the garden, you must be a brother who can travel far away."""
3807,2,event,Feng Jie entrusts her orphan,"After the Jia family was confiscated, Jia Mu passed away. Liu Laolao entered the Jia family three times. Unexpectedly, the Jia family was in decline and was worried about internal and external troubles. When Feng Jie saw her grandmother, it was difficult to look back on the past. Feng Jie was seriously ill and entrusted her daughter Qiaojie to Liu Laolao with tears in her eyes. She took off a gold bracelet from her wrist and handed it to her. Village woman Liu Laolao refused to accept it, but she readily agreed to take care of Qiaojie in the future."
3808,3,event,Wang'er's wife is married,"Lai Wang's son fell in love with Caixia in Mrs. Wang's house. Relying on Fengjie's power, the Lai Wang family forced Caixia's parents to marry."
3809,2,event,Nongquan Tiehan Temple,"After Sister Feng arrived at Shuiyue Temple, an old nun took the opportunity to ask Sister Feng to do something, saying that there was a rich man named Zhang in Chang'an City. Once, Miss Zhang went to the temple to burn incense and was taken a fancy to Li Yanei. Mr. Li wanted to marry this Miss Zhang, but the lady had already received the betrothal gift from her former garrison of Chang'an. The rich man Zhang wanted to marry his daughter to Li Yanei and wanted to withdraw from the engagement of the garrison family. Of course, the garrison family disagreed and filed a lawsuit with him. Now I ask Sister Feng to come forward and let the garrison family take the initiative to promote the marriage. Sister Feng asked to give her 3,200 silver dollars, so she helped her and explained the matter of breaking the engagement."
3810,3,event,Intelligent love affair,"Smart, the little nun of Shuiyue Temple. Jingxu's apprentice walked around the Jia family since he was a child and everyone knew him. He often joked with Baoyu and Qin Zhong. When she grew up, she gradually realized her charm and fell in love with Qin Zhong's character, and Qin Zhong also loved her beauty. The two of them fell in love and had a secret meeting in Mantou Temple several times. After Qin Zhong returned home, she escaped from Shuiyue Temple to find Qin Zhong. Unexpectedly, Qin Zhong's father Qin Ye realized it and expelled her, but later disappeared."
3811,3,event,Seduce Xue Ke,"Xia Jingui probably thought about her husband's brother Xue Ke when he saw that Xue Pan had an accident and came back from life. Although her girl Baochan was a housekeeper for Xue Pan, when she saw that Xue Pan had an accident, the master and servant both had their own thoughts and put their hope on Xue Ke. First, Baochan went to test Xue Ke, and then the master and servant joined forces to seduce Xue Ke."
3812,2,event,Jia Zheng borrowed money,"Jia Zheng helped Jia Mu's coffin travel south. Because he was not in trouble, he had no choice but to write a letter, ""Sent someone to Lai Shangrong to borrow 500 silver."" A few days later, the family came back and presented Lai Shangrong's confession. He reported many hardships in the book, and prepared fifty taels of silver. Jia Zheng was furious when he saw this and ordered his family to say, ""Send it back immediately! Send the original book back, so he doesn't have to worry."""
3813,2,event,Tanchun Marrying,"Tanchun Judgment: There are two people flying kites behind it, a sea and a big boat, and there is a woman in the boat, covering her face and crying. There are also four sentences: talent is smart and ambition is high, and the fortune is deteriorated when born in the last days. The tears flow to the riverside in the clear morning, and the east wind of thousands of miles away is a dream."
3814,4,event,As soon as Liu Laolao entered Rongguo Mansion,"Liu Lao Lao's family was approaching, but she was short of money. When she was an official, her ancestors recognized Rongguo Mansion as a relative in the capital, she went to Rongguo Mansion to ask for some money for the New Year. When he met Wang Xifeng, the second grandmother in charge, Fengjie gave the girls money to make winter clothes to her grandmother. For this reason, Liu Laolao was very grateful to her and laid the straits for saving Fengjie's daughter Qiaojie in the future."
3815,2,event,Daiyu Burial Flowers,"Lin Daiyu feels most pity for flowers and feels that the cleanest burial in the soil after the flowers fall, which shows that she has a unique view on beauty. She wrote the lyrics of burying flowers, using flowers to metaphor herself, which is one of the most beautiful poems in ""Dream of Red Mansions"". Jia Baoyu and Lin Daiyu had a conversation when burying the flowers, which became a masterpiece of the misunderstanding between lovers in ""Dream of Red Mansions""."
3816,3,event,Baochai snatches butterfly,"The scene of Xue Baochai enjoying spring butterflies near Dicui Pavilion shows Baochai's lively and open-minded personality. The ""Dicuiting Incident"" that occurred after this incident reflects Baochai's kindness and wit. This plot author vividly and vividly reproduces the scene of the characters' activities through the portrayal of the characters and the description of the actions, and presents a rare picture of a ladies to the readers."
3817,3,event,Jin Chuan jumps into the well,"Jia Baoyu teased Jin Chuan and said: I asked her for her with my wife. Jin Chuan teased Baoyu and asked him to go to Aunt Zhao's place to capture Jia Huan and the maid. The traitor of Mrs. Wang heard that she was pretending to sleep. She got angry and slapped Jin Chuan and said that she had taught the young master badly. Baoyu did not dare to defend Jin Chuan and scared him away. Jin Chuan was expelled from the mansion and committed suicide in shame and anger!"
3818,5,event,Grand View Garden Trial,"Jia Baoyu and his sister Jia Yuanchun had a deep relationship. If Jia Zheng wanted to make Concubine Yuan happy, he asked Jia Baoyu to write plaques and couplets in the Grand View Garden, so that Concubine Yuan could see her brother's progress. This time, it mainly tells the story of Jia Zheng taking Jia Baoyu to test his son's talent in the Grand View Garden, inscribe plaques and couplets for various places."
3819,3,event,Qin Keqing's debauchery of Tianxiang Tower,"Shortly after Qin Keqing married Jia Rong, he had a beginning and end with his father-in-law Jia Zhen. The two often dated in Tianxianglou. The two were not aware of the two, but they did not know that the servants of Ning Mansion had already seen the clues of contact, but were only frightened by the identity of the head of Jia Zhen, and they did not dare to speak out. But three people were kept in the dark, namely Qin Keqing's two maids Ruizhu and Baozhu, as well as her mother-in-law Youshi. Until one night, the father-in-law and daughter-in-law met again on Tianxiang Tower, but they happened to be caught by the two maids who came to find the young grandmother and encountered Jia Zhen and Qin Keqing's ""good things"". Jia Zhen hurriedly changed clothes and ran away. Qin Keqing also hurriedly changed clothes and went downstairs, accidentally leaving a hairpin she often wore at Jia Zhen's place. The next day, the hairpin was obtained by Youshi from the clothes that Jia Zhen changed, so he became suspicious, so he called Qin Keqing's two maids to ask. Under Youshi's coercion and temptation, the two maids cried and told the truth. The matter was learned by Qin Keqing and Jia Zhen. Qin felt that she had no face to survive anymore, so she hanged herself in Tianxianglou one night."
3820,3,event,Wedding the Chung Chung-sen Wolf,"Jia Yingchun was very polite after passing the family and was very loving to Sun, but soon found that Sun Shaozu was lustful, liked to bet and alcohol... OK, so he beat him and rushed him to sleep in the lower room..."" Sun regarded Yingchun as a slave he bought and was either beat or scolded. Yingchun was a lady from a famous family. She was originally delicate and could withstand such torture. Soon she died and returned to the west."
3821,2,event,Golden and jade relationship,"Baoyu has a piece of jade on his body and Baochai has a piece of gold lock. When combined, it is called a good marriage of gold and jade. The combination of the Xue family and the Jia family means a match between the two major families."
3822,3,event,Wang Xifeng assisted Ningguo Mansion,"When Qin Keqing died, Jia Zhen's wife, Youshi, pretended to be ill and was not in charge of the funeral. Jia Zhen had to ask Wang Xifeng to preside over the funeral. In order to show his talents, Wang Xifeng assigned tasks at regular intervals, handled them in an orderly manner, and set out to deliberately mess up the one who gave Feng Jie a warning. Everyone followed the arrangements and successfully handled Qin Keqing's funeral, demonstrating Wang Xifeng's ability."
3823,1,event,Concubine Yuan visits her,"When Yuan Fei visited her relatives, she first saw the Grand View Garden and sighed in secret that it was too luxurious. Later, I met Jia Mu and others and they all cried. Then she met Lin Daiyu, Xue Baochai and Aunt Xue, and Jia Baoyu again, and then looked at the plaque. She chose a poem to write each of them, and Xue and Lin were praised. Baoyu owns four poems. Xue Baochai saw him using the sentence ""Green Jade Spring is Still Scroll"", reminding him that the Yuan Concubine did not like the word ""Green Jade"", and called Baoyu changed to ""Green Wax"". Baoyu wrote three poems and was thinking hard. Seeing that he had only copied one poem ""The Apricot Curtain is Looking"", Daiyu helped him write one and asked Baoyu to copy it. In fact, Daiyu originally wanted to show off her geniuses tonight to overwhelm everyone, but the Yuan Concubine only ordered each person to write a poem, so she had to give up. As a result, after reading the Yuanfei, she was overjoyed and said that the last song was the best. The name of the villa was changed to ""Daoxiang Village"". After listening to a few more plays, it ended."
3824,3,event,Zhen Shiyin's dream consciousness and spiritual communication,"It is the origin of Jia Baoyu and Lin Daiyu. Baoyu is a stone descending to earth. This stone was abandoned by Nuwa under Qinggeng Peak because of ""no material repair"" and wandered around. He went to Fairy Jinghuan to be a servant of Shenying. He met a fairy grass of Crimson Pearl, and irrigated the nectar every day for her. Later, he was reincarnated by a monk and a Taoist mortal. He was Jia Baoyu. The Crimson Pearl Fairy Grass also followed the stone to the earth, and she was Lin Daiyu."
3825,3,event,Qingwen tear the fan,"During the Dragon Boat Festival, Baoyu was in a bad mood due to the Jin Chuaner incident. It happened that Qingwen accidentally fanned Baoyu when she changed her clothes, so she scolded her a few words. Qingwen's self-esteem was hurt and she counterattacked her, which not only made Baoyu ""tremble all over"", but also Xiren who came to persuade her to fight was covered in dust. Finally, Baoyu must go back to his wife, and then Xiren and his maids knelt down and pleaded for mercy. When Baoyu came back from the banquet, he still talked and laughed with Qingwen. I heard that Qingwen likes to hear the sound of tearing the fans, so she lets her tear up a lot of famous fans quickly. Finally, Qingwen tore the fan in Baoyu's hand and tore the fan of Musk Yue."
3826,4,event,Feng Jie pours jealousy,"Sister Feng felt that she was drunk and went back to the room. When the little girl turned around and ran away when she met, Feng Jie was suspicious of scrutiny and discovered that Jia Lian and Bao Er family had an affair. First, beat Ping'er, and Sister Feng kicked the door and yelled and scolded. When Youshi and others arrived, Jia Lian drew his sword and wanted to kill Fengjie, but Fengjie cried to Jia Mu. Mrs. Xing took control and resigned Jia Lian, and Jia Mu smiled and relieved the situation. Li Wan pulled Ping'er into the garden, and Baoyu asked Ping'er Yihongyuan to make makeup, which made Ping'er Daiyu sad. Mrs. Xing got up early and took Jia Lian over to Jia Mu's place. Jia Lian knelt down and bowed to accompany her. Bao Er's family committed suicide by hanging themselves, and Feng Jie was deterred, and Jia Lian sent some money to the store."
3827,4,event,Tanchun Family Manager,"Wang Xifeng fell ill. Mrs. Wang was afraid that no one would take care of Nuo's big Jia family, and named Tanchun, Li Wan and Xue Baochai were acting in the house. She was even more powerful than when Feng Jie was there. As Aunt Zhao's brother died, Tanchun clearly distinguished between public and private affairs and did not give more money for his relatives, which made Aunt Zhao furious. Later, everyone was sentenced to monthly rules and gave the garden to the servants, which attracted everyone's praise. Tanchun's concept of family management was implemented in detail."
3828,1,event,Xiangyun sleeps in the peony,"At Baoyu and others' birthday party, Shi Xiangyun was drunk and fell asleep on a stone bench behind the mountain in the garden. She rested on her head with a bag of peony petals. The peony flowers flew all over her, and the fan in her hand fell to the ground, and was half buried by the flowers, surrounded by bees and butterflies. Although Xiangmeng was in a deep state, she was still talking about the wine. After everyone stepped forward to wake her up, Xiangyun couldn't help but regret it."
3829,2,event,Sister You San died in love,"After Liu Xianglian fell in love with You Sanjie, she gave her a pair of mandarin duck swords to her sister as a decisive thing, and then she went out of the official position. I didn't expect that it would take five years to part. During the five years, Liu Xianglian had expectations and longing, but she also heard many rumors about the Jia family. During the holiday, Liu Xianglian wanted to marry her, but when she returned to the capital, she heard a lot of incest things in the Jia family from her friends. This trip turned into an investigation into the dirty behavior of men and women in the Jia family and a determination to repent. When he came to the Jia Mansion, Baoyu was outside the door. After the greetings, Baoyu mentioned You Sanjie's infatuation waiting. Liu Xianglian hurriedly waved her hand and shook her head and said, ""Apart from the two stone lions in your East Mansion, I'm afraid even the cats and dogs are not clean. I won't be this remaining turtle."" The third sister hiding in the door heard it sincerely, and the passion of Panjun and Yingjun was as if she was suddenly poured by ice water. When he returned to the house and returned the sword, he handed the sword sheath to Liu Xianglian; he took the opportunity to draw out a sword and committed suicide in anger in front of Liu Xianglian. With his own blood and life, he proved his innocence and loyalty to love."
3830,8,event,Copy and inspect the Grand View Garden,"A sachet was found in the garden, and Mrs. Wang ordered Sister Feng and Wang Shanbao's family to conduct inspections. In Yihongyuan, Qingwen poured out everything angrily, without any selfless things. At Tanchun, Tanchun not only contradicted Sister Feng, but also slapped Wang Shanbao in the face. At the Yingchun site, evidence of Siqi's private affairs was found. At the place where Qingchun was clear, I found my brother's boots and socks. In the end, Qingwen, Siqi and Jihua were expelled from the mansion."
3831,3,event,Daiyu Burning Manuscript,"After Lin Daiyu learned that Jia Baoyu and Xue Baochai had gotten sick, she struggled to death by the couch and tore up the old handkerchief and the silk with poems written by Baoyu. She also asked Xueyan to light a lantern on the brazier. Daiyu put the silk on the fire. Xueyan didn't care about burning her hands, so she grabbed it from the fire and stomped it on the ground, but there was nothing left. After that, Daiyu passed away with tears."
3832,1,event,Daiyu's death,"After hearing the news of Baoyu's marriage, Daiyu's condition became worse and worse. She thought she had no physiology and burned her old handwriting and poems that she witnessed her love with Baoyu. The Jia family was busy getting married and had no time to take care of Daiyu, so they even called her maid away. Daiyu died after shouting ""Baoyu! Baoyu! Hello--"" At this time, the sound of marriage music came faintly in the distance. The wind was moving on the bamboo shoots outside the Xiaoxiang Pavilion and the moon shadow moved the wall. It was so desolate and cold!"
3833,2,event,Qingwen repairs the fur,"Xiren went home due to her mother's illness. Qingwen suffered from cold and cold at night and her body was burned. Baoyu celebrated his uncle's birthday, and Jia Mu gave Baoyu a Russian peacock fur. Baoyu accidentally burned a hole when wearing it. Musk Moon hurriedly took it out and asked someone to weave it. Who knew that the things were too expensive and no tailor dared to take care of it. Jingwen was skillful and skillful, and was cured overnight during a serious illness."
